ops/sec(cum)	p50(ms)	p99(ms)	skews
68036.7	4.6	19.925	0
68567.4	4.625	19.925	0.1
68036.09999999999	3.25	14.575000000000001	0.2
68252.6	5.625	25.699999999999996	0.3
68484.4	4.425	19.400000000000002	0.4
69195.79999999999	4.85	20.175	0.5
68162.7	3.4000000000000004	14.950000000000001	0.6
68680.2	5.575	24.799999999999997	0.7
68333.09999999999	4.2749999999999995	19.650000000000002	0.8
65764.1	2.2750000000000004	12.849999999999998	0.9
54825.0	1.3625	10.425	0.99
48763.200000000004	1.2499999999999998	8.674999999999999	1.1
35012.5	1.375	10.75	1.2
33446.4	1.3375000000000001	30.6875	1.3
26959.4	1.3499999999999999	8.475	1.4
22210.100000000002	1.45	8.875	1.5
